opcode,mnem,op_enc,ops,prefs,feature_flag,exceptions
VEX.NDS.128.66.0F38.WIG DF /r,VAESDECLAST,RVM,xmm:mew; xmm:mer; xmm/m128:mer,pref67:operand/1,AES; AVX,UD; GPS; AC; PFS
0F 38 DC /r,AESENC,RM,xmm:merw; xmm/m128:mer,pref67:operand/1; pref66:mandatory/1,AES,UD; GPS; AC; PFS
VEX.NDS.128.66.0F38.WIG DC /r,VAESENC,RVM,xmm:mew; xmm:mer; xmm/m128:mer,pref67:operand/1,AES; AVX,UD; GPS; AC; PFS
0F 38 DD /r,AESENCLAST,RM,xmm:merw; xmm/m128:mer,pref67:operand/1; pref66:mandatory/1,AES,UD; GPS; AC; PFS
VEX.NDS.128.66.0F38.WIG DD /r,VAESENCLAST,RVM,xmm:mew; xmm:mer; xmm/m128:mer,pref67:operand/1,AES; AVX,UD; GPS; AC; PFS
0F 38 DB /r,AESIMC,RM,xmm:mew; xmm/m128:mer,pref67:operand/1; pref66:mandatory/1,AES,UD; GPS; AC; PFS
VEX.128.66.0F38.WIG DB /r,VAESIMC,RM,xmm:mew; xmm/m128:mer,pref67:operand/1,AES; AVX,UD; GPS; AC; PFS
0F 3A DF /r ib,AESKEYGENASSIST,RMI,xmm:mew; xmm/m128:mer; imm8:mer,pref67:operand/1; pref66:mandatory/1,AES,UD; GPS; AC; PFS
VEX.128.66.0F3A.WIG DF /r ib,VAESKEYGENASSIST,RMI,xmm:mew; xmm/m128:mer; imm8:mer,pref67:operand/1,AES; AVX,UD; GPS; AC; PFS
24 ib,AND,I,AL:mrw; imm8:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,,,SSX; GPX; PF; AC
25 iw,AND,I,AX:mrw; imm16:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,pref66:mandatory/1,,SSX; GPX; PF; AC
25 id,AND,I,EAX:mrw; imm32:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0,,SSX; GPX; PF; AC
25 id,AND,I,RAX:mrw; imm32:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,rex_w:mandatory/1,,SSX; GPX; PF; AC
80 /4 ib,AND,MI,r/m8:merw; imm8:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
81 /4 iw,AND,MI,r/m16:merw; imm16:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
81 /4 id,AND,MI,r/m32:merw; imm32:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
81 /4 id,AND,MI,r/m64:merw; imm32:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
83 /4 ib,AND,MI,r/m16:merw; imm8:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
83 /4 ib,AND,MI,r/m32:merw; imm8:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
83 /4 ib,AND,MI,r/m64:merw; imm8:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
